qid,wikidata_name,display_name,country,club_qid,alias
Q102192752,Vicente Giraldós,Vicente Giraldós,스페인,Q8835,
Q10329918,Miguel Ángel Bazán,Miguel Ángel Bazán,스페인,Q8835,
Q10329918,Miguel Ángel Bazán,Miguel Ángel Bazán,아르헨티나,Q8835,
Q104637801,Julián Mesa González,Julián Mesa González,스페인,Q8835,
Q104709472,Ibrahim Diabate,Ibrahim Diabate,코트디부아르,Q8835,Ibrahim Yalatif Diabate
Q10496547,Milan Milijaš,Milan Milijaš,세르비아,Q8835,
Q105014971,Eder González Tortella,Eder González Tortella,스페인,Q8835,
Q105082754,Jorge Bran,Jorge Bran,온두라스,Q8835,
Q10556299,프레드라그 라이코비치,프레드라그 라이코비치,세르비아,Q8835,
Q107370133,Miguel Ángel Matamoros,Miguel Ángel Matamoros,온두라스,Q8835,shinola
Q107585778,José Manuel Arias Copete,José Manuel Arias Copete,정보 없음,Q8835,"José Manuel Copete, José Copete"
Q107585809,Ángel Rodado Jareño,Ángel Rodado Jareño,스페인,Q8835,
Q10772,Alex Geijo,Alex Geijo,스페인,Q8835,"Álex Geijo, Alex Geijo Pazos, Álex Geijo Pazos, Alexandre Geijo"
Q108761954,Josep Gayá,Josep Gayá,스페인,Q8835,
Q110234646,Leo Román,Leo Román,스페인,Q8835,
Q111097366,Pablo Torre,Pablo Torre,스페인,Q8835,Pablo Torre Carral
Q114125,Rogério Gaúcho,Rogério Gaúcho,브라질,Q8835,Rogerio Gaucho
Q1173951,David Castedo,David Castedo,스페인,Q8835,David Castedo Escudero
Q1174367,다비드 에토오,다비드 에토오,카메룬,Q8835,다비드 피에르 에토오
Q1174532,David Generelo,David Generelo,스페인,Q8835,
Q1188833,하비 마르케스,하비 마르케스,스페인,Q8835,하비에르 마르케스
Q11904822,Alberto López Arteseros,Alberto López Arteseros,스페인,Q8835,
Q11906567,Armando Martínez Sagi,Armando Martínez Sagi,스페인,Q8835,Armando Sagi
Q11906573,Armando Lucas Contreras,Armando Lucas Contreras,스페인,Q8835,
Q11916531,Damià Amer Munar,Damià Amer Munar,스페인,Q8835,
Q11918038,Eduard Abadal Almendros,Eduard Abadal Almendros,스페인,Q8835,
Q11918091,Eduardo Belza,Eduardo Belza,우루과이,Q8835,Eduardo Belza Franco
Q11921815,Fernando Marcos Santiago,Fernando Marcos Santiago,스페인,Q8835,
Q11922982,Francisco Javier Mulero Villena,Francisco Javier Mulero Villena,스페인,Q8835,
Q11923460,Gabriel Font Martorell,Gabriel Font Martorell,스페인,Q8835,
Q11924084,Georgi Dimitrov,Georgi Dimitrov,불가리아,Q8835,
Q11926832,Ioné Puga Doreste,Ioné Puga Doreste,스페인,Q8835,
Q11926917,Isidre Rovira i Tuset,Isidre Rovira i Tuset,스페인,Q8835,
Q11927359,Jaume Sabaté Mercadé,Jaume Sabaté Mercadé,스페인,Q8835,
Q11927707,Joan Forteza Bennàsar,Joan Forteza Bennàsar,스페인,Q8835,
Q11928253,Jon Irureta Rey,Jon Irureta Rey,스페인,Q8835,
Q11934254,Luis Gil Torres,Luis Gil Torres,스페인,Q8835,
Q11934590,Magí Mir Martínez,Magí Mir Martínez,스페인,Q8835,
Q11936888,Miquel Buades i Crespí,Miquel Buades i Crespí,스페인,Q8835,
Q11936915,Miki Garro,Miki Garro,스페인,Q8835,Miquel Garro i Gomila
Q11936937,Miquel Molondro,Miquel Molondro,스페인,Q8835,
Q11936940,Miquel Nadal Pont,Miquel Nadal Pont,스페인,Q8835,
Q11944702,Ramón Sánchez del Valle,Ramón Sánchez del Valle,스페인,Q8835,
