qid,wikidata_name,display_name,country,club_qid,alias
Q10284836,Francisco Javier Cachorro,Francisco Javier Cachorro,스페인,Q10512,Francisco Javier Katxorro
Q104889354,José Salinas,José Salinas,스페인,Q10512,
Q10537218,Pierita,Pierita,스페인,Q10512,
Q10558991,마리아노 풀리도,마리아노 풀리도,스페인,Q10512,
Q106029276,Carlos Suazo,Carlos Suazo,온두라스,Q10512,Calistrín
Q106878319,Álvaro Núñez,Álvaro Núñez,스페인,Q10512,
Q107481656,Rafael Núñez,Rafael Núñez,도미니카 공화국,Q10512,
Q107481656,Rafael Núñez,Rafael Núñez,스페인,Q10512,
Q107894103,Mariano Gargallo Minguillón,Mariano Gargallo Minguillón,스페인,Q10512,
Q108839447,Manuel Justo Román,Manuel Justo Román,정보 없음,Q10512,Manu Justo
Q113027711,페데리코 레돈도,페데리코 레돈도,아르헨티나,Q10512,Federico Redondo Solari
Q113557128,Álex Alfaro,Álex Alfaro,스페인,Q10512,
Q1147102,사비 토레스,사비 토레스,스페인,Q10512,Xavier Torres Buigues
Q114901851,알바로 로드리게스,알바로 로드리게스,스페인,Q10512,Álvaro Daniel Rodríguez Muñoz
Q114901851,알바로 로드리게스,알바로 로드리게스,우루과이,Q10512,Álvaro Daniel Rodríguez Muñoz
Q116602,카를로스 산체스 모레노,카를로스 산체스 모레노,콜롬비아,Q10512,Carlos Alberto Sánchez Moreno
Q116602,카를로스 산체스 모레노,카를로스 산체스 모레노,프랑스,Q10512,Carlos Alberto Sánchez Moreno
Q11681496,Enrique Medina Ortega,Enrique Medina Ortega,스페인,Q10512,
Q11685259,Jon Solaun Akarregi,Jon Solaun Akarregi,스페인,Q10512,
Q11697229,파블로 마친,파블로 마친,스페인,Q10512,Pablo Machín Díez
Q11698634,페드로 발렌틴 모라,페드로 발렌틴 모라,스페인,Q10512,Pere Valentí Mora Mariné
Q11728818,Juan Ángel Romero Isasi,Juan Ángel Romero Isasi,파라과이,Q10512,
Q1174129,David Cuéllar,David Cuéllar,스페인,Q10512,David Cuellar
Q1174532,David Generelo,David Generelo,스페인,Q10512,
Q1188833,하비 마르케스,하비 마르케스,스페인,Q10512,하비에르 마르케스
Q1190059,알렉산데르 다비드 곤살레스,알렉산데르 다비드 곤살레스,베네수엘라,Q10512,Alexander David Gonzalez
Q11906070,Antonio Moreno Domínguez,Antonio Moreno Domínguez,스페인,Q10512,
Q11906785,Arturo Martínez Noval,Arturo Martínez Noval,스페인,Q10512,
Q11906787,Arturo Pavón Jiménez,Arturo Pavón Jiménez,스페인,Q10512,
Q11909002,Benito Sánchez Postigo,Benito Sánchez Postigo,스페인,Q10512,
Q11912396,Carles Isach Ramos,Carles Isach Ramos,스페인,Q10512,
Q11917628,Domingo Serrano Gil,Domingo Serrano Gil,스페인,Q10512,
Q11918097,Eduardo García León,Eduardo García León,스페인,Q10512,Edu García
Q11919298,Enric Cuxart i Vaquer,Enric Cuxart i Vaquer,스페인,Q10512,Enric Cuxart Vaquer
Q11924510,Gorka Bidaurrazaga,Gorka Bidaurrazaga,스페인,Q10512,
Q11926437,Ignacio Segura Carrión,Ignacio Segura Carrión,스페인,Q10512,
Q11927119,Jaime Ferrer Castillo,Jaime Ferrer Castillo,스페인,Q10512,
Q11927288,Jaume Garcia Juan,Jaume Garcia Juan,스페인,Q10512,
Q11927414,Javier Jiménez Pozo,Javier Jiménez Pozo,스페인,Q10512,
Q11927415,Javier Prieto Castro,Javier Prieto Castro,스페인,Q10512,
Q11928151,Joaquín Bornes Rincón,Joaquín Bornes Rincón,스페인,Q10512,Joaquín Bornes
Q11929074,José Eloy Jiménez Moreno,José Eloy Jiménez Moreno,스페인,Q10512,
Q11929085,José Ignacio García Sendín,José Ignacio García Sendín,스페인,Q10512,
Q11929091,José Ignacio Soler,José Ignacio Soler,스페인,Q10512,José Ignacio Soler Bayona
Q11929118,José Luis Rodrigo Velasco,José Luis Rodrigo Velasco,스페인,Q10512,
Q11929119,José Luis Raimundo Romero,José Luis Raimundo Romero,스페인,Q10512,
Q11929132,José Manuel Meca García,José Manuel Meca García,스페인,Q10512,Meca
Q11929183,José Ocio Cuezva,José Ocio Cuezva,스페인,Q10512,
Q11929900,Koldo Sarasúa Gamazo,Koldo Sarasúa Gamazo,스페인,Q10512,
Q11931275,레안드루 세나,레안드루 세나,브라질,Q10512,레안드루 히베이루 세나
Q11934254,Luis Gil Torres,Luis Gil Torres,스페인,Q10512,
Q11934918,Manuel Asian Bejarano,Manuel Asian Bejarano,스페인,Q10512,
Q11936743,Miguel Melgar Rodríguez,Miguel Melgar Rodríguez,스페인,Q10512,
Q11936769,Mikel Antía Mendiaraz,Mikel Antía Mendiaraz,스페인,Q10512,Mikel Antía
Q12256097,David Acaz,David Acaz,스페인,Q10512,
Q12265430,Pablo Hervías,Pablo Hervías,스페인,Q10512,
Q12384560,Borja Valle,Borja Valle,스페인,Q10512,
Q12392807,Manuel Quevedo,Manuel Quevedo,스페인,Q10512,
Q12398505,Rafael Almagro Martínez,Rafael Almagro Martínez,스페인,Q10512,
Q12401601,Urbano Ruiz,Urbano Ruiz,스페인,Q10512,
Q1277247,José Manuel Colmenero Crespo,José Manuel Colmenero Crespo,스페인,Q10512,Jose Manuel Colmenero Crespo
Q131310263,Martín Begiristain,Martín Begiristain,스페인,Q10512,
Q131324094,Evaristo Carrió,Evaristo Carrió,스페인,Q10512,
