qid,wikidata_name,display_name,country,club_qid,alias
Q100140986,Davi Machado dos Santos Araújo,Davi Machado dos Santos Araújo,브라질,Q7156,Davi Araújo
Q100300095,일리아스 아호마시,일리아스 아호마시,모로코,Q7156,
Q102292155,오스카르 밍게사,오스카르 밍게사,스페인,Q7156,Óscar Mingueza García
Q1028020,이니고 마르티네스,이니고 마르티네스,스페인,Q7156,
Q1037444,마르빈 아빌라,마르빈 아빌라,과테말라,Q7156,마르빈 토마스 아빌라 산체스
Q10432361,José Padrón,José Padrón,스페인,Q7156,
Q104737263,Lamare Bogarde,Lamare Bogarde,네덜란드 왕국,Q7156,
Q104784108,샤디 리아드,샤디 리아드,모로코,Q7156,
Q104835054,Jimer Fory,Jimer Fory,콜롬비아,Q7156,"Esteban Fory, Jimer Esteban Fory Mejía"
Q10506007,Mark Angel,Mark Angel,영국,Q7156,
Q10553914,Arseni Comas,Arseni Comas,스페인,Q7156,Arseni Comas Julià
Q10558958,Juan Díaz Sánchez,Juan Díaz Sánchez,스페인,Q7156,
Q105681392,알레한드로 발데,알레한드로 발데,도미니카 공화국,Q7156,"Alejandro Baldé Martínez, Álex Baldé"
Q105681392,알레한드로 발데,알레한드로 발데,스페인,Q7156,"Alejandro Baldé Martínez, Álex Baldé"
Q106136,조르디 로우라,조르디 로우라,스페인,Q7156,조르디 로우라 솔라
Q106625792,니코 곤살레스,니코 곤살레스,스페인,Q7156,
Q107089,로베르트 엥케,로베르트 엥케,독일,Q7156,"로버트 엔케, 로버트 엥케, 로베르트 엔케"
Q107089,로베르트 엥케,로베르트 엥케,동독,Q7156,"로버트 엔케, 로버트 엥케, 로베르트 엔케"
Q107693749,Arnau Comas,Arnau Comas,스위스,Q7156,Arnau Comas Freixas
Q108111889,파블로 가비,파블로 가비,스페인,Q7156,"Pablo Gavi, Pablo Martin Paez Gavira, Pablo Martín Páez Gavira"
Q10856523,안토니오 사나브리아,안토니오 사나브리아,파라과이,Q7156,Arnaldo Antonio Sanabria Ayala
Q10874784,Manuel Rosalench,Manuel Rosalench,스페인,Q7156,Manel Rosalench i Bellón
Q108843299,José Berrondo Silva,José Berrondo Silva,스페인,Q7156,
Q10908690,Duval Valverde,Duval Valverde,에콰도르,Q7156,
Q109327842,압데 에잘줄리,압데 에잘줄리,모로코,Q7156,"Abde Ez, Abdessamad Abde Ezzalzouli, Abdessamad Ezzalzouli"
Q109327842,압데 에잘줄리,압데 에잘줄리,스페인,Q7156,"Abde Ez, Abdessamad Abde Ezzalzouli, Abdessamad Ezzalzouli"
Q10952300,Cléo Hickman,Cléo Hickman,브라질,Q7156,
Q109659531,루니 바르다지,루니 바르다지,스웨덴,Q7156,
Q109659531,루니 바르다지,루니 바르다지,시리아,Q7156,
Q109659531,루니 바르다지,루니 바르다지,쿠웨이트,Q7156,
Q10977779,Ignacio Llácer,Ignacio Llácer,스페인,Q7156,
Q110070377,Ferran Jutglà,Ferran Jutglà,스페인,Q7156,"Ferran “Jutgol”, Ferrán Jutglà Blanch"
Q110258306,주안 가르시아,주안 가르시아,스페인,Q7156,Joan García
Q11039796,Josep Obiols Navarro,Josep Obiols Navarro,스페인,Q7156,
Q11080997,José Valero Martín,José Valero Martín,스페인,Q7156,
Q11081810,Pedrito,Pedrito,파라과이,Q7156,
Q111016177,비토르 호케,비토르 호케,브라질,Q7156,"Mortadha Roque, Vítor Hugo Roque Ferreira"
Q11109609,Álex George,Álex George,에콰도르,Q7156,
Q111097366,Pablo Torre,Pablo Torre,스페인,Q7156,Pablo Torre Carral
Q1120877,엘라디오 실베스트레,엘라디오 실베스트레,스페인,Q7156,Eladio Silvestre Graells
Q1124502,Miguel Martínez de Corta,Miguel Martínez de Corta,스페인,Q7156,Miguel Martinez de Corta
Q113463544,Joan Viudes Sánchez,Joan Viudes Sánchez,정보 없음,Q7156,
Q1136416,미차엘 하비에르 오르테가,미차엘 하비에르 오르테가,콜롬비아,Q7156,미카엘 하비에르 오르테가
Q113704154,라민 야말,라민 야말,스페인,Q7156,
Q113704154,라민 야말,라민 야말,적도 기니,Q7156,
Q113818296,Xavier Antón i Bofill,Xavier Antón i Bofill,정보 없음,Q7156,
Q113976796,Víctor Barberà,Víctor Barberà,스페인,Q7156,
Q114030867,Óscar Albalat,Óscar Albalat,스페인,Q7156,Óscar Albalat Medrano
Q1140337,Cristian Ugalde,Cristian Ugalde,스페인,Q7156,
Q114085673,마르크 카사도,마르크 카사도,스페인,Q7156,
Q1147102,사비 토레스,사비 토레스,스페인,Q7156,Xavier Torres Buigues
Q114834401,Dani Rodríguez,Dani Rodríguez,스페인,Q7156,Daniel Rodríguez Crespo
Q114856951,Shu'aib Kabir,Shu'aib Kabir,나이지리아,Q7156,Duniya Ba Hutu
Q115119,훌렌 로페테기,훌렌 로페테기,스페인,Q7156,Julen Lopetegui Argote
Q115142418,Vicente Egido Bolao,Vicente Egido Bolao,정보 없음,Q7156,
Q115453,이반 라키티치,이반 라키티치,스위스,Q7156,Ivan Rakitic
Q115453,이반 라키티치,이반 라키티치,크로아티아,Q7156,Ivan Rakitic
Q115500,호안 감퍼,호안 감퍼,스위스,Q7156,"Hans Gamper, Hans Kamper, Hans Max Gamper-Haessig"
Q1156625,안드레아 오를란디,안드레아 오를란디,스페인,Q7156,Andrea Orlandi Stabilin
Q115859542,Joaquim Basora,Joaquim Basora,스페인,Q7156,
Q116252162,Ángel Alarcón,Ángel Alarcón,스페인,Q7156,
Q116394,콘스탄틴 이그로풀로,콘스탄틴 이그로풀로,러시아,Q7156,콘스탄틴 발레리예비치 이그로풀로
Q116458410,안데르 아스트랄라가,안데르 아스트랄라가,스페인,Q7156,Ander Astralaga Aranguren
Q116856458,Iker San Vicente,Iker San Vicente,정보 없음,Q7156,
Q11685690,José Antonio Cabrera Sánchez,José Antonio Cabrera Sánchez,스페인,Q7156,
Q116866394,Sergi Domínguez,Sergi Domínguez,스페인,Q7156,Sergi Domínguez Viloria
Q116872826,Aleix Garrido,Aleix Garrido,스페인,Q7156,
Q116878118,Unai Hernández,Unai Hernández,스페인,Q7156,Unai Hernández Lorenzo
Q11690722,Manuel Tomé,Manuel Tomé,스페인,Q7156,
Q11698367,Patrici Arnau,Patrici Arnau,스페인,Q7156,
Q11698634,페드로 발렌틴 모라,페드로 발렌틴 모라,스페인,Q7156,Pere Valentí Mora Mariné
Q11704515,Vicente Blanco Sánchez,Vicente Blanco Sánchez,스페인,Q7156,Tito Blanco
Q117304726,Cristian Sanz Díaz,Cristian Sanz Díaz,스페인,Q7156,
Q117312887,페르민 로페스,페르민 로페스,스페인,Q7156,Fermín López Marín
Q11777025,Melanio Olmedo Bretón,Melanio Olmedo Bretón,파라과이,Q7156,Melanio Olmedo
Q1184161,델피 젤리,델피 젤리,스페인,Q7156,Delfi Geli
Q118472572,마르크 기우,마르크 기우,스페인,Q7156,Marc Guiu
Q118473161,파우 쿠바르시,파우 쿠바르시,스페인,Q7156,Pau Cubarsí Paredes
Q118876190,엑토르 포트,엑토르 포트,스페인,Q7156,Héctor Fort García
Q11904978,Alfredo Massana,Alfredo Massana,스페인,Q7156,
Q11906567,Armando Martínez Sagi,Armando Martínez Sagi,스페인,Q7156,Armando Sagi
Q11908642,Q11908642,Q11908642,정보 없음,Q7156,
Q11908668,Basilio Nieto,Basilio Nieto,스페인,Q7156,
Q11909159,Bernat Lassaleta,Bernat Lassaleta,스페인,Q7156,Bernado Lassaletta
Q11913623,Charles Wallace,Charles Wallace,스페인,Q7156,
Q11915305,Conrad Portas Burcet,Conrad Portas Burcet,스페인,Q7156,
Q11916679,David Cáceres i Calvera,David Cáceres i Calvera,스페인,Q7156,David Cáceres
Q11916686,David Gabaldón i Calzada,David Gabaldón i Calzada,스페인,Q7156,
Q11919325,Enric Mas,Enric Mas,스페인,Q7156,
Q11921288,Eusebio Blanco,Eusebio Blanco,스페인,Q7156,
Q11922982,Francisco Javier Mulero Villena,Francisco Javier Mulero Villena,스페인,Q7156,
Q11927408,Javier Delgado López,Javier Delgado López,스페인,Q7156,
Q11927654,Joan Capó,Joan Capó,스페인,Q7156,
Q11928440,José Aubach,José Aubach,스페인,Q7156,
Q11928492,Josep Canal i Viñas,Josep Canal i Viñas,스페인,Q7156,
Q11928594,Josep Gimeno i Navarro,Josep Gimeno i Navarro,스페인,Q7156,
Q11928617,José Juliá Ribas,José Juliá Ribas,스페인,Q7156,José Julià
Q11928988,Josep Villarroya,Josep Villarroya,스페인,Q7156,
Q11929098,José Landazabal,José Landazabal,스페인,Q7156,
Q11929147,José María Cela,José María Cela,스페인,Q7156,
Q11929215,José de la Sagra Fermín,José de la Sagra Fermín,스페인,Q7156,
Q11929293,Juan Ignacio Bernal Díaz,Juan Ignacio Bernal Díaz,스페인,Q7156,
Q11929445,Julià López Segú,Julià López Segú,스페인,Q7156,
Q1193120,마키 바그나크,마키 바그나크,카메룬,Q7156,"Macky Franck Bagnack Mouegni, Macky Frank Bagnack Mouegni"
Q11934912,마누엘 아메차수라,마누엘 아메차수라,스페인,Q7156,Manuel Amechazurra y Guazo
Q11935022,Manuel Va Esteve,Manuel Va Esteve,스페인,Q7156,
Q11935024,Manuel Vidal,Manuel Vidal,스페인,Q7156,
Q11935589,Mariano Homs,Mariano Homs,스페인,Q7156,
Q11940888,Percival Wallace,Percival Wallace,스페인,Q7156,
Q11944570,Ramón Bruguera Álvarez,Ramón Bruguera Álvarez,스페인,Q7156,
Q11944697,Ramón Díaz Cruz,Ramón Díaz Cruz,스페인,Q7156,
Q11946774,Salvador Martínez Surroca,Salvador Martínez Surroca,스페인,Q7156,Salvador Surroca
Q11954677,Vicente Tonijuán,Vicente Tonijuán,스페인,Q7156,
Q119562,세르히오 아구에로,세르히오 아구에로,아르헨티나,Q7156,"세르히오 레오넬 쿤 아구에로 델 카스티요, 세르히오 아게로, 아게로, 쿤 아게로, 쿤 아구에로, 쿤 아궤로"
Q11958,필립 코퀴,필립 코퀴,네덜란드 왕국,Q7156,Phillip John-William Cocu
Q12156404,Carlos Gerardo Russo,Carlos Gerardo Russo,아르헨티나,Q7156,
Q121943745,Gerard Martín,Gerard Martín,스페인,Q7156,
Q121982284,Marc Bernal,Marc Bernal,스페인,Q7156,Marc Bernal Casas
Q123109319,Joan Boix Sans,Joan Boix Sans,스페인,Q7156,
Q123186203,안드레스 쿠엥카,안드레스 쿠엥카,스페인,Q7156,
Q123739749,Joan Bó i Vilamala,Joan Bó i Vilamala,스페인,Q7156,
Q12385358,Carlos Pellicer Vázquez,Carlos Pellicer Vázquez,스페인,Q7156,
Q12386093,José María Martín Rodríguez,José María Martín Rodríguez,스페인,Q7156,José María Martín
Q12387939,Ernest Pons i Forn,Ernest Pons i Forn,스페인,Q7156,
Q12391264,Joan Muntaner i Roig,Joan Muntaner i Roig,스페인,Q7156,
Q12391264,Joan Muntaner i Roig,Joan Muntaner i Roig,쿠바,Q7156,
Q12391274,Juan Aretio,Juan Aretio,스페인,Q7156,
Q1255625,사뮈엘 에토오,사뮈엘 에토오,스페인,Q7156,"사무엘 에투, 사뮈엘 에토"
Q1255625,사뮈엘 에토오,사뮈엘 에토오,카메룬,Q7156,"사무엘 에투, 사뮈엘 에토"
Q125796,빈스톤 보하르더,빈스톤 보하르더,네덜란드 왕국,Q7156,Winston Lloyd Bogarde
Q125945,세르지 고메스,세르지 고메스,스페인,Q7156,세르지 고메스 이 솔라
Q1262966,헤수스 가라이,헤수스 가라이,스페인,Q7156,Jesus Garay
Q126719197,Josep Llobet,Josep Llobet,정보 없음,Q7156,
Q128214524,Toni Fernández,Toni Fernández,스페인,Q7156,Antonio Fernández Casino
Q128719,야스퍼르 실레선,야스퍼르 실레선,네덜란드 왕국,Q7156,Jacobus Antonius Peter Johannes Cillessen
Q1289918,Florencia Quiñones,Florencia Quiñones,아르헨티나,Q7156,Maria Quinones
Q1291069,Eduardo Manchón,Eduardo Manchón,스페인,Q7156,Eduardo Manchon
Q1292709,Johan Fano,Johan Fano,페루,Q7156,Johan Javier Fano Espinoza
Q1294326,Tibor Szalay,Tibor Szalay,헝가리,Q7156,Tibor Szalay Csikos
Q1308449,자구아레,자구아레,브라질,Q7156,자구아레 베제하 지바스콘셀루스
Q131529,한스 크랑클,한스 크랑클,오스트리아,Q7156,Johann Krankl
Q13308,사뮈엘 윔티티,사뮈엘 윔티티,카메룬,Q7156,"Samuel Um Titi, Samuel Yves Um Titi, Samuel Yves Umtiti"
Q13308,사뮈엘 윔티티,사뮈엘 윔티티,프랑스,Q7156,"Samuel Um Titi, Samuel Yves Um Titi, Samuel Yves Umtiti"
