qid,wikidata_name,display_name,country,club_qid,alias
Q101035007,폴라린 발로건,폴라린 발로건,미국,Q180305,"Folarin Jerry Balogun, Folarin Jolaoluwa Jerry Balogun"
Q101035007,폴라린 발로건,폴라린 발로건,영국,Q180305,"Folarin Jerry Balogun, Folarin Jolaoluwa Jerry Balogun"
Q10306559,Jean Olivier Asso,Jean Olivier Asso,정보 없음,Q180305,
Q10419739,Joe Nagbe,Joe Nagbe,라이베리아,Q180305,Joe Thunder Armstrong Nagbe
Q104718063,Brandãozinho,Brandãozinho,브라질,Q180305,José Carlos Silveira Braga
Q107742783,시몽 아딩라,시몽 아딩라,코트디부아르,Q180305,
Q1077509,크리스 말롱가,크리스 말롱가,콩고 공화국,Q180305,프랑시스 크리스 말롱가 은차이
Q1077509,크리스 말롱가,크리스 말롱가,프랑스,Q180305,프랑시스 크리스 말롱가 은차이
Q1135510,Joseph Dayo Oshadogan,Joseph Dayo Oshadogan,이탈리아,Q180305,Joseph Oshadogan
Q1148683,시릴 롤,시릴 롤,프랑스,Q180305,
Q1150278,Cédric Stoll,Cédric Stoll,프랑스,Q180305,Cedric Stoll
Q116487,Nicolas Isimat-Mirin,Nicolas Isimat-Mirin,프랑스,Q180305,Nicolas Johnny Isimat-Mirin
Q117714794,Paul Baptiste Behe Leonardi,Paul Baptiste Behe Leonardi,코트디부아르,Q180305,
Q117714794,Paul Baptiste Behe Leonardi,Paul Baptiste Behe Leonardi,프랑스,Q180305,
Q121437938,Jordan Semedo,Jordan Semedo,카보베르데,Q180305,
Q121437938,Jordan Semedo,Jordan Semedo,프랑스,Q180305,
Q122354,디에고 베날리오,디에고 베날리오,스위스,Q180305,디에고 베나글리오
Q1238170,Dominique Bijotat,Dominique Bijotat,프랑스,Q180305,
Q12481043,David Henen,David Henen,벨기에,Q180305,David Boris Philippe Henen
Q12481043,David Henen,David Henen,토고,Q180305,David Boris Philippe Henen
Q1248192,Bolívar,Bolívar,브라질,Q180305,"Bolivar, Fabian Guedes"
Q1265123,제라르 솔레르,제라르 솔레르,프랑스,Q180305,Gerard Soler
Q128898,클로드 퓌엘,클로드 퓌엘,프랑스,Q180305,Claude Jacques Puel
Q129027,폴 포그바,폴 포그바,프랑스,Q180305,폴 폭바
Q129810,케빈 폴란트,케빈 폴란트,독일,Q180305,
Q12984,스테판 엘 샤라위,스테판 엘 샤라위,베네수엘라,Q180305,Stephan Kareem El Shaarawy
Q12984,스테판 엘 샤라위,스테판 엘 샤라위,이집트,Q180305,Stephan Kareem El Shaarawy
Q12984,스테판 엘 샤라위,스테판 엘 샤라위,이탈리아,Q180305,Stephan Kareem El Shaarawy
Q1328917,Elia Legati,Elia Legati,이탈리아,Q180305,
Q1336172,Jean Grumellon,Jean Grumellon,프랑스,Q180305,
Q1344922,이봉 두이,이봉 두이,프랑스,Q180305,
Q1347269,이슬람 슬리마니,이슬람 슬리마니,알제리,Q180305,
Q1348098,프레데리크 니마니,프레데리크 니마니,중앙아프리카 공화국,Q180305,프레데리크 쿠투 니마니 응갈루
Q1348098,프레데리크 니마니,프레데리크 니마니,차드,Q180305,프레데리크 쿠투 니마니 응갈루
Q1348098,프레데리크 니마니,프레데리크 니마니,프랑스,Q180305,프레데리크 쿠투 니마니 응갈루
Q1349797,Hassan El Fakiri,Hassan El Fakiri,노르웨이,Q180305,
Q1349797,Hassan El Fakiri,Hassan El Fakiri,모로코,Q180305,
Q1351431,레옹 글로바츠키,레옹 글로바츠키,폴란드,Q180305,Leon Glovacki
Q1351431,레옹 글로바츠키,레옹 글로바츠키,프랑스,Q180305,Leon Glovacki
Q1354663,말로리 마르탱,말로리 마르탱,프랑스,Q180305,
Q1355189,Laurent Robuschi,Laurent Robuschi,프랑스,Q180305,
Q1362018,Yohan Mollo,Yohan Mollo,프랑스,Q180305,
Q1362048,Ali Benarbia,Ali Benarbia,알제리,Q180305,
Q1362048,Ali Benarbia,Ali Benarbia,프랑스,Q180305,
Q136940,마르코 디 바이오,마르코 디 바이오,이탈리아,Q180305,
Q1369619,Sébastien Hamel,Sébastien Hamel,프랑스,Q180305,Sebastien Hamel
Q137128,위삼 벤 예데르,위삼 벤 예데르,프랑스,Q180305,
Q1372073,쇠렌 부스크,쇠렌 부스크,덴마크 왕국,Q180305,
Q1377528,올리비에 베뇨,올리비에 베뇨,프랑스,Q180305,
Q1378703,Dos Santos,Dos Santos,프랑스,Q180305,Manuel dos Santos Fernandes
Q1380133,Lazare Gianessi,Lazare Gianessi,프랑스,Q180305,
Q1381011,Alain Moizan,Alain Moizan,세네갈,Q180305,
