qid,wikidata_name,display_name,country,club_qid,alias
Q1032003,마이카 하이드,마이카 하이드,영국,Q19458,마이카 앤서니 하이드
Q10379434,Kevin Ball,Kevin Ball,영국,Q19458,
Q10379831,게리 고우,게리 고우,영국,Q19458,Gerald Gow
Q10380241,Phil Gray,Phil Gray,영국,Q19458,Philip Gray
Q10380687,Brian Mooney,Brian Mooney,아일랜드,Q19458,
Q10386096,필 이스트우드,필 이스트우드,영국,Q19458,필립 이스트우드
Q10394703,Jimmy Yates,Jimmy Yates,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10399389,Liam Robinson,Liam Robinson,영국,Q19458,Spencer Liam Robinson
Q10402170,Jack Hill,Jack Hill,그레이트브리튼 아일랜드 연합왕국,Q19458,John Henry Hill
Q10402170,Jack Hill,Jack Hill,영국,Q19458,John Henry Hill
Q10402333,Neil Howarth,Neil Howarth,영국,Q19458,
Q10422097,Frank Lumsden,Frank Lumsden,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10422097,Frank Lumsden,Frank Lumsden,영국,Q19458,
Q10422922,Barry Powell,Barry Powell,영국,Q19458,
Q10423807,John Turner,John Turner,영국,Q19458,John Graham Anthony Turner
Q10429790,Frank Newton,Frank Newton,그레이트브리튼 아일랜드 연합왕국,Q19458,Leonard Francis Newton
Q10429790,Frank Newton,Frank Newton,영국,Q19458,Leonard Francis Newton
Q10449393,David Black,David Black,그레이트브리튼 아일랜드 연합왕국,Q19458,David Gibson Black
Q10449393,David Black,David Black,영국,Q19458,David Gibson Black
Q10450056,David Jones,David Jones,영국,Q19458,
Q10453732,Terry Pashley,Terry Pashley,영국,Q19458,Terence Pashley
Q10463696,William Parkinson,William Parkinson,영국,Q19458,
Q10469527,John Clayton,John Clayton,영국,Q19458,
Q10479077,Kevin Carr,Kevin Carr,영국,Q19458,
Q10480828,Paul Fletcher,Paul Fletcher,영국,Q19458,Paul John Fletcher
Q10480977,Herbert Brierley,Herbert Brierley,영국,Q19458,
Q10481030,Jonathan Brown,Jonathan Brown,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10481037,Fred Campbell,Fred Campbell,영국,Q19458,
Q10481099,Jim Carson,Jim Carson,영국,Q19458,James Carson
Q10481187,Thomas Conway,Thomas Conway,정보 없음,Q19458,
Q10481243,Harry Dobinson,Harry Dobinson,그레이트브리튼 아일랜드 연합왕국,Q19458,Harold Dobinson
Q10481243,Harry Dobinson,Harry Dobinson,영국,Q19458,Harold Dobinson
Q10481278,John Dryden,John Dryden,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10481278,John Dryden,John Dryden,영국,Q19458,
Q10481284,Harry Duckworth,Harry Duckworth,영국,Q19458,
Q10481560,Harry Gee,Harry Gee,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10481560,Harry Gee,Harry Gee,영국,Q19458,
Q10482200,Jimmy Hill,Jimmy Hill,그레이트브리튼 아일랜드 연합왕국,Q19458,James Hill
Q10482479,Jack Lane,Jack Lane,그레이트브리튼 아일랜드 연합왕국,Q19458,John William Lane
Q10482479,Jack Lane,Jack Lane,영국,Q19458,John William Lane
Q10482506,Jack Liggins,Jack Liggins,그레이트브리튼 아일랜드 연합왕국,Q19458,John Granville Liggins
Q10482506,Jack Liggins,Jack Liggins,영국,Q19458,John Granville Liggins
Q10482958,Robert McCrae,Robert McCrae,정보 없음,Q19458,
Q10483093,John McKnight,John McKnight,정보 없음,Q19458,
Q10483109,Alexander McLardie,Alexander McLardie,그레이트브리튼 아일랜드 연합왕국,Q19458,Alexander Stewart McLardy
Q10483195,William McNab,William McNab,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10483207,Joe Mantle,Joe Mantle,그레이트브리튼 아일랜드 연합왕국,Q19458,Joseph Mantle
Q10483207,Joe Mantle,Joe Mantle,영국,Q19458,Joseph Mantle
Q10483560,David Meechan,David Meechan,영국,Q19458,David Anderson Meechan
Q10483860,Willie Miller,Willie Miller,영국,Q19458,William Rennie Miller
Q10483875,Hugh Moffat,Hugh Moffat,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10483875,Hugh Moffat,Hugh Moffat,영국,Q19458,
Q10483959,Joe Neenan,Joe Neenan,영국,Q19458,
Q10484294,Joe Pattison,Joe Pattison,영국,Q19458,Joseph Pattison
Q10484358,Walter Place,Walter Place,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10484358,Walter Place,Walter Place,영국,Q19458,
Q10484360,Harold Plummer,Harold Plummer,영국,Q19458,
Q10484639,Mark Rhodes,Mark Rhodes,영국,Q19458,Mark Nigel Rhodes
Q10484718,Jerry Reynolds,Jerry Reynolds,그레이트브리튼 아일랜드 연합왕국,Q19458,Jeremiah Reynolds
Q10484718,Jerry Reynolds,Jerry Reynolds,영국,Q19458,Jeremiah Reynolds
Q10484864,Percy Richards,Percy Richards,영국,Q19458,
Q10487222,Richard Riley,Richard Riley,영국,Q19458,
Q10487240,Billy Robson,Billy Robson,그레이트브리튼 아일랜드 연합왕국,Q19458,William Paisley Robson
Q10487240,Billy Robson,Billy Robson,영국,Q19458,William Paisley Robson
Q10487256,Harry Ross,Harry Ross,그레이트브리튼 아일랜드 연합왕국,Q19458,Henry Ross
Q10487256,Harry Ross,Harry Ross,영국,Q19458,Henry Ross
Q10487307,Jack Schofield,Jack Schofield,영국,Q19458,
Q10490141,John Smyth,John Smyth,아일랜드,Q19458,John Michael Smyth
Q10490300,Harold Spencer,Harold Spencer,그레이트브리튼 아일랜드 연합왕국,Q19458,Harold John Spencer
Q10490300,Harold Spencer,Harold Spencer,영국,Q19458,Harold John Spencer
Q10490321,John Steel,John Steel,영국,Q19458,
Q10490343,Alec Stewart,Alec Stewart,그레이트브리튼 아일랜드 연합왕국,Q19458,Alexander Stewart
Q10490343,Alec Stewart,Alec Stewart,영국,Q19458,Alexander Stewart
Q10490389,James Sutherland,James Sutherland,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q1049059,George Boyd,George Boyd,영국,Q19458,George Jan Boyd
Q10494874,John Walker,John Walker,영국,Q19458,
Q10494889,Tommy Walker,Tommy Walker,영국,Q19458,Thomas Jackson Walker
Q10495095,John Weston,John Weston,그레이트브리튼 아일랜드 연합왕국,Q19458,John Matthew Weston
Q10495095,John Weston,John Weston,영국,Q19458,John Matthew Weston
Q10495105,Thomas White,Thomas White,영국,Q19458,
Q10495124,John Williams,John Williams,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10495124,John Williams,John Williams,영국,Q19458,
Q10498327,William Bolton,William Bolton,영국,Q19458,
Q10510933,Neil Lindsay,Neil Lindsay,정보 없음,Q19458,
Q10511336,Tom Wolstenholme,Tom Wolstenholme,그레이트브리튼 아일랜드 연합왕국,Q19458,Thomas Wolstenholme
Q10511336,Tom Wolstenholme,Tom Wolstenholme,영국,Q19458,Thomas Wolstenholme
Q10512612,Michael King,Michael King,영국,Q19458,Michael John King
Q10512629,Billy Wilson,Billy Wilson,영국,Q19458,William Wilson
Q10512645,Harry Wilson,Harry Wilson,영국,Q19458,
Q10512672,Ian Wilson,Ian Wilson,그레이트브리튼 아일랜드 연합왕국,Q19458,
Q10512672,Ian Wilson,Ian Wilson,영국,Q19458,
Q105203860,아나스 자루리,아나스 자루리,모로코,Q19458,
Q105203860,아나스 자루리,아나스 자루리,벨기에,Q19458,
Q10548155,John Summers,John Summers,그레이트브리튼 아일랜드 연합왕국,Q19458,John Lawrence Summers
Q10548155,John Summers,John Summers,영국,Q19458,John Lawrence Summers
Q10603,마빈 소델,마빈 소델,영국,Q19458,Marvin Anthony Sordell
Q1061071,마틴 패터슨,마틴 패터슨,영국,Q19458,마틴 앤드루 패터슨
Q1061264,Steven Thompson,Steven Thompson,영국,Q19458,Steven Howard Thompson
Q1061973,Zavon Hines,Zavon Hines,영국,Q19458,Zavon Albert Hines
