qid,wikidata_name,display_name,country,club_qid,alias
Q101053044,피에로 인카피에,피에로 인카피에,에콰도르,Q104761,Piero Martín Hincapié Reyna
Q1016504,Burkhard Segler,Burkhard Segler,독일,Q104761,
Q10460653,Mile Božić,Mile Božić,크로아티아,Q104761,
Q1050172,Cataldo Cozza,Cataldo Cozza,독일,Q104761,
Q105047331,노아 음밤바,노아 음밤바,벨기에,Q104761,
Q106387,슈테판 키슬링,슈테판 키슬링,독일,Q104761,스테판 키슬링
Q106591364,Rasa Schulskyte,Rasa Schulskyte,독일,Q104761,Rasa Šulskytė
Q106591364,Rasa Schulskyte,Rasa Schulskyte,리투아니아,Q104761,Rasa Šulskytė
Q106591364,Rasa Schulskyte,Rasa Schulskyte,소련,Q104761,Rasa Šulskytė
Q106948344,Q106948344,Q106948344,독일,Q104761,Marcel Laurenz Lotka
Q106948344,Q106948344,Q106948344,폴란드,Q104761,Marcel Laurenz Lotka
Q1080166,Christian Hausmann,Christian Hausmann,독일,Q104761,
Q1085348,크리스토프 크라머,크리스토프 크라머,독일,Q104761,
Q109237,Dieter Fern,Dieter Fern,독일,Q104761,
Q109417,앙겔로스 하리스테아스,앙겔로스 하리스테아스,그리스,Q104761,"앙겔로스 카리스테아스, 카리스테아스"
Q1098383,Claus-Dieter Wollitz,Claus-Dieter Wollitz,독일,Q104761,Pele Wollitz
Q110523,마뉴엘 프리드리히,마뉴엘 프리드리히,독일,Q104761,
Q110778,Manfred Kastl,Manfred Kastl,독일,Q104761,
Q110983882,Ben Klefisch,Ben Klefisch,독일,Q104761,
Q111279922,Manfred Eickerling,Manfred Eickerling,정보 없음,Q104761,
Q112813857,자렐 콴사,자렐 콴사,영국,Q104761,
Q113001,디르크 로트너,디르크 로트너,독일,Q104761,
Q1136416,미차엘 하비에르 오르테가,미차엘 하비에르 오르테가,콜롬비아,Q104761,미카엘 하비에르 오르테가
Q1160301,Daniel Cartus,Daniel Cartus,독일,Q104761,
Q1161205,Daniel Ischdonat,Daniel Ischdonat,독일,Q104761,
Q1162629,Daniel Schumann,Daniel Schumann,독일,Q104761,
Q116447721,구스타보 푸에르타,구스타보 푸에르타,콜롬비아,Q104761,
Q1167282,Tobias Steffen,Tobias Steffen,독일,Q104761,
Q11948,미하엘 발라크,미하엘 발라크,독일,Q104761,미하엘 발락
Q1221906,Dieter Ferner,Dieter Ferner,독일,Q104761,
Q1223366,Dietmar Demuth,Dietmar Demuth,독일,Q104761,
Q1223493,Dietmar Mürdter,Dietmar Mürdter,독일,Q104761,
Q1227890,Dirk Hielscher,Dirk Hielscher,독일,Q104761,
Q1228054,Dirk Schlegel,Dirk Schlegel,독일,Q104761,
Q1228054,Dirk Schlegel,Dirk Schlegel,동독,Q104761,
Q122820,Rudi Faßnacht,Rudi Faßnacht,독일,Q104761,
Q1237688,Dominick Drexler,Dominick Drexler,독일,Q104761,
Q1257792,Jens Melzig,Jens Melzig,독일,Q104761,
Q1257792,Jens Melzig,Jens Melzig,동독,Q104761,
Q1272792,Džemal Berberović,Džemal Berberović,보스니아 헤르체고비나,Q104761,
Q127452,다니엘 카르바할,다니엘 카르바할,스페인,Q104761,"Daniel Carvajal Ramos, El de la Carvajalinha"
Q127492,Michael Zepek,Michael Zepek,독일,Q104761,
Q127797,요엘 포흐얀팔로,요엘 포흐얀팔로,핀란드,Q104761,
